0.161	0.322	0.081
0.215	0.320	0.136
0.163	0.321	0.133
0.215	0.319	0.148
0.161	0.323	0.059
0.216	0.318	0.164
0.214	0.321	0.099
0.161	0.323	0.071
0.216	0.319	0.161
0.162	0.322	0.104
0.213	0.322	0.071
0.160	0.325	0.023
0.214	0.322	0.079
0.214	0.322	0.079
0.160	0.324	0.047
0.214	0.321	0.096
0.161	0.323	0.057
0.213	0.322	0.071
0.214	0.321	0.096
0.161	0.323	0.072
0.213	0.322	0.069
0.160	0.325	0.020
0.212	0.323	0.037
0.161	0.377	0.074
0.213	0.322	0.071
0.213	0.323	0.046
0.159	0.325	0.020
0.213	0.323	0.039
0.163	0.320	0.137
0.215	0.320	0.121
0.159	0.327	0.027
0.215	0.320	0.121
0.213	0.322	0.071
0.162	0.321	0.122
0.216	0.318	0.171
0.160	0.325	0.020
0.214	0.320	0.113
0.213	0.322	0.071
0.161	0.323	0.057
0.213	0.322	0.071
0.162	0.321	0.107
0.213	0.323	0.046
0.160	0.324	0.047
0.214	0.322	0.081
0.211	0.325	0.020
0.158	0.327	0.034
0.213	0.323	0.049
0.159	0.325	0.020
0.212	0.324	0.022
0.157	0.328	0.077
0.020	0.020	0.020
